kV,mA,BarCode,XraysOn,HVLFilter(mm),Filter,FilterReady,HVLReady,N,Current1(pA),Current2(pA),P(kPa),T(MC),T(Air),T(SC),H(%),Comment,,,,Filter,This is the beam identifier. Need this as part of main ID stuff in DB,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,17,3731,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,18,3729,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,19,3731,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,20,3730,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,21,3730,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,22,3732,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,23,3731,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,24,3731,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,25,3730,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,26,3730,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,27,3731,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,28,3731,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,29,3732,-39.67,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
40,20,NXB,TRUE,0,NXJ40,FALSE,TRUE,30,3730,-39.68,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,1,5404,-56.01,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,2,5405,-56.01,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,3,5403,-56,100.96,22.942825,23.085307,23.144723,45.130765,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,4,5405,-56.01,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,5,5403,-56.01,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,6,5404,-56,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,7,5405,-56.01,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,8,5405,-56.01,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
50,20,NXB,TRUE,0,NXJ50,FALSE,TRUE,9,5405,-56.01,100.96,22.94415,23.083692,23.147827,45.151108,QA chamber measurement set 1,,,,,,,,,
